Title,Company,Reference Code,Posted Date,Closing Date,Employment Mode,Salary,Vacancy,Location,Job Description,Skills & Requirements,Graduation Year,Fields of Study,Education Level (pursuing / obtained),Required Level of Work Experience,About Company,Application Methods,Address,Email,Phone,Fax,Website,Note,Nature of Business,Job Categories
Assistant Engineer (Environmental),REC Engineering Company Limited,JIS00336375,2024-09-02,2024-09-30,"Full Time, Graduate",Negotiable,2,"HK Island, Hong Kong; Kowloon, Hong Kong; New Territories, Hong Kong","  Job Description:
-Tender estimation;
- Preparation of installation program, shop drawings, progress report and submitting payment applications;
- Purchase of equipment/materials;
- Responsible for site coordination and supervision of sub-contractors and attending site meetings etc.
  Benefit:
- Candidates with excellent job performance will be nominated to join the Scheme A Programme;
- 13 days Annual Leave per annum;
- Year End Double Pay;
- Life Insurance;
- Medical Scheme including Dental Services;
- MPF (Top-up) Scheme
 ","Job Requirement:
- Degree in Environment Engineering or related discipline;
- Proficient in AutoCAD, MS Office and MS Project;
- Good command of both spoken and written English and Chinese;
- Good communication skills with positive attitude;
- Proactive and work independently",2022 - 2023,"Engineering, Environmental Engineering & Sustainable Development",Bachelor,None,"Yau Lee Holdings Limited (The Group) is publicly listed on The Stock Exchange of Hong Kong and has expanded steadily into Macau, Mainland China and Singapore. Its major businesses include building construction, fitting out, maintenance, renovation, plumbing and drainage works, electrical and mechanical works, curtain wall and metal works, architectural and engineering consultancy services, building materials trading, precast products manufacturing and trading, property development, property investment, IT solution and services, etc.

One of its main subsidiaries, REC Engineering Company Limited, formerly known as Ryoden Engineering Co. Ltd.(菱電工程有限公司), is one of Hong Kong’s largest engineering companies. REC engages in every aspect of electrical and mechanical engineering services, including electrical installation, air-conditioning, fire prevention and fighting, plumbing and drainage, environmental engineering, building automation systems, and engineering maintenance services.
The Group employs more than three thousands of staff in Hong Kong and abroad. To cope with our increasing business activities and new initiatives, REC Engineering Company Limited is inviting high caliber candidates to join our team.
 ",,"Units A-D, 15/F, Goodman Kwai Chung Logistics Centre, 585-609 Castle Peak Road, Kwai Chung, New Territories",rechr@rec-eng.com,,,http://www.rec-eng.com,Cover Letter and Resume with Expected Salary,Engineering,"Environment / Sustainability
Engineering - Electronic / Industrial / Electrical / Mechanical and others"
Assistant Engineer (Building Services),REC Engineering Company Limited,JIS00336376,2024-09-01,2024-09-30,"Full Time, Graduate",Negotiable,3,"HK Island, Hong Kong; Kowloon, Hong Kong; New Territories, Hong Kong","Job Description:
- Tender estimation;
- Preparation of installation program, shop drawings, progress report and submitting payment applications;
- Purchase of equipment/materials;
- Responsible for site coordination and supervision of sub-contractors and attending site meetings etc.
  Benefit:
- Candidates with excellent job performance will be nominated to join the Scheme A Programme;
- 13 days Annual Leave per annum;
- Year End Double Pay;
- Life Insurance;
- Medical Scheme including Dental Services;
- MPF (Top-up) Scheme
 ","Job Requirement:
- Degree in Building Services Engineering or related discipline;
- Proficient in AutoCAD, MS Office and MS Project;
- Good command of both spoken and written English and Chinese;
- Good communication skills with positive attitude;
- Proactive and work independently",2022 - 2023,Building Services Engineering,Bachelor,None,"Yau Lee Holdings Limited (The Group) is publicly listed on The Stock Exchange of Hong Kong and has expanded steadily into Macau, Mainland China and Singapore. Its major businesses include building construction, fitting out, maintenance, renovation, plumbing and drainage works, electrical and mechanical works, curtain wall and metal works, architectural and engineering consultancy services, building materials trading, precast products manufacturing and trading, property development, property investment, IT solution and services, etc.

One of its main subsidiaries, REC Engineering Company Limited, formerly known as Ryoden Engineering Co. Ltd.(菱電工程有限公司), is one of Hong Kong’s largest engineering companies. REC engages in every aspect of electrical and mechanical engineering services, including electrical installation, air-conditioning, fire prevention and fighting, plumbing and drainage, environmental engineering, building automation systems, and engineering maintenance services.
  The Group employs more than three thousands of staff in Hong Kong and abroad. To cope with our increasing business activities and new initiatives, REC Engineering Company Limited is inviting high caliber candidates to join our team.",,"Units A-D, 15/F, Goodman Kwai Chung Logistics Centre, 585-609 Castle Peak Road, Kwai Chung, New Territories",rechr@rec-eng.com,,,http://www.rec-eng.com,Cover Letter & Resume with Expected Salary,Engineering,Engineering - Construction / Building Services
Assistant Engineer (Mechanical),REC Engineering Company Limited,JIS00336377,2024-09-01,2024-09-30,"Full Time, Graduate",Negotiable,3,"HK Island, Hong Kong; Kowloon, Hong Kong; New Territories, Hong Kong","Job Description:
- Tender estimation;
- Preparation of installation program, shop drawings, progress report and submitting payment applications;
- Purchase of equipment/materials;
- Responsible for site coordination and supervision of sub-contractors and attending site meetings etc.
  Benefit:
- Candidates with excellent job performance will be nominated to join the Scheme A Programme;
- 13 days Annual Leave per annum;
- Year End Double Pay;
- Life Insurance;
- Medical Scheme including Dental Services;
- MPF (Top-up) Scheme","Job Requirement:
- Degree in Mechanical Engineering or related discipline;
- Proficient in AutoCAD, MS Office and MS Project;
- Good command of both spoken and written English and Chinese;
- Good communication skills with positive attitude;
- Proactive and work independently.",2022 - 2023,"Engineering, Mechanical Engineering",Bachelor,None,"Yau Lee Holdings Limited (The Group) is publicly listed on The Stock Exchange of Hong Kong and has expanded steadily into Macau, Mainland China and Singapore. Its major businesses include building construction, fitting out, maintenance, renovation, plumbing and drainage works, electrical and mechanical works, curtain wall and metal works, architectural and engineering consultancy services, building materials trading, precast products manufacturing and trading, property development, property investment, IT solution and services, etc.
One of its main subsidiaries, REC Engineering Company Limited, formerly known as Ryoden Engineering Co. Ltd.(菱電工程有限公司), is one of Hong Kong’s largest engineering companies. REC engages in every aspect of electrical and mechanical engineering services, including electrical installation, air-conditioning, fire prevention and fighting, plumbing and drainage, environmental engineering, building automation systems, and engineering maintenance services.
The Group employs more than three thousands of staff in Hong Kong and abroad. To cope with our increasing business activities and new initiatives, REC Engineering Company Limited is inviting high caliber candidates to join our team.
   ",,"Units A-D, 15/F, Goodman Kwai Chung Logistics Centre, 585-609 Castle Peak Road, Kwai Chung, New Territories",rechr@rec-eng.com,,,http://www.rec-eng.com,Cover Letter and Resume with expected salary,Engineering,Engineering - Electronic / Industrial / Electrical / Mechanical and others
Assistant Engineer(Electrical),REC Engineering Company Limited,JIS00336378,2024-09-01,2024-09-30,"Full Time, Graduate",Negotiable,3,"HK Island, Hong Kong; Kowloon, Hong Kong; New Territories, Hong Kong","  Job Description:
-Tender estimation;
- Preparation of installation program, shop drawings, progress report and submitting payment applications;
- Purchase of equipment/materials;
- Responsible for site coordination and supervision of sub-contractors and attending site meetings etc.
    Benefit:
- Candidates with excellent job performance will be nominated to join the Scheme A Programme;
- 13 days Annual Leave per annum;
- Year End Double Pay;
- Life Insurance;
- Medical Scheme including Dental Services;
- MPF (Top-up) Scheme
 ","Job Requirement:
- Degree in Electrical Engineering or related discipline;
- Proficient in AutoCAD, MS Office and MS Project;
- Good command of both spoken and written English and Chinese;
- Good communication skills with positive attitude;
- Proactive and work independently
 ",2022 - 2023,"Engineering, Electrical / Electronic / Energy Engineering",Bachelor,None,"Yau Lee Holdings Limited (The Group) is publicly listed on The Stock Exchange of Hong Kong and has expanded steadily into Macau, Mainland China and Singapore. Its major businesses include building construction, fitting out, maintenance, renovation, plumbing and drainage works, electrical and mechanical works, curtain wall and metal works, architectural and engineering consultancy services, building materials trading, precast products manufacturing and trading, property development, property investment, IT solution and services, etc.

One of its main subsidiaries, REC Engineering Company Limited, formerly known as Ryoden Engineering Co. Ltd.(菱電工程有限公司), is one of Hong Kong’s largest engineering companies. REC engages in every aspect of electrical and mechanical engineering services, including electrical installation, air-conditioning, fire prevention and fighting, plumbing and drainage, environmental engineering, building automation systems, and engineering maintenance services.
The Group employs more than three thousands of staff in Hong Kong and abroad. To cope with our increasing business activities and new initiatives, REC Engineering Company Limited is inviting high caliber candidates to join our team.
 ",,"Units A-D, 15/F, Goodman Kwai Chung Logistics Centre, 585-609 Castle Peak Road, Kwai Chung, New Territories",rechr@rec-eng.com,,,http://www.rec-eng.com,Cover Letter and Resume with Expected Salary,Engineering,Engineering - Electronic / Industrial / Electrical / Mechanical and others
Part-time STEM Instructor / Tutor,STEM Accelerator Limited,JIS00336380,2024-09-01,2024-09-30,"Part Time, Temporary",HKD ($) 100 - 140 per hour,2,Tsuen Wan / Kowloon Bay / Shek Mun (Shatin),"Deliver STEM courses to our students in our own centre
Monthly salary up to $3000+
Friendly working environment
Lunch will be provided during weekend
Teaching materials and training will be provided
Working location: Kowloon Bay, Shek Mun (Shatin), Tsuen Wan
For more details about us, please refer to our website: https://www.robocodeacademy.com/
Submit your application to jobs@robocodeacademy.com (with a recent photo (optional))","We are a passionate and energetic team, come and join us if you are the same =)
Responsible, patient and friendly
Strong communication and presentation skills
Passionate in empowering young kids to learn and explore
With relevant teaching experience is an advantage
No technical background is required (for courses to aged 4-7 young kids)
With basic programming knowledge (i.e. Python / Web Programming etc.) is a plus
Good command of written and spoken English and Cantonese
   ",2025 - 2028,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",None,"RoboCode Academy (STEM Accelerator Limited) is a STEM education centre who offers a series of STEM (including coding and robotics) courses to kids aged 4 to 18. Founded by a passionate scientist, engineer & educator Dr. Jackei Wong, we dedicates to equipping our next generations with the crucial 21st century skills, through developing the computational mindset and digital literacy. With adaptive curriculums and state-of-the-art software, our courses are designed to foster creativity, develop potentials and boost self-confidence, which empowers and inspires our future leaders to actively contribute to the society positively.","Please address your application to : Dr. Jackei Wong, Director","Unit 807-809A, 8/F, Telford House, 16 Wang Hoi Road, Kowloon Bay, Hong Kong",jobs@robocodeacademy.com,24881412,,https://www.robocodeacademy.com/,We are looking for course instructors to grow with us together! =),Education,"Education
Teaching"
Part-time intern,HSK Genetech Limited,JIS00336335,2024-09-01,2024-09-15,"Part Time, Temporary",HKD ($) 64 per hour,1,Hong Kong Science Park,Collaborate with team members to create promotional materials (eg innographics) and provide marketing assistance,"- Enthusiastic about promotion
- Experience on innographics and marketing will be advantages
- Good written Chinese and English
- Good communication skills",2025 - 2029,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",None,"HSK GeneTech was founded by a group of research scientists led by Professor Hoi Shan Kwan of the Chinese University of Hong Kong. Our team of scientists possesses probably the territories’ best expertise in the field of genomics and high‐throughput sequencing. Probiolife Limited is a subsidiary of HSKG, focuses on food supplement products to enhance gut microbiome and overall health. We have built these companies with a vision to contribute to the betterment of human health leveraging on our scientific expertise and experience.
Website: https://www.hskgene.com","Please address your application to : Anna Yip, Company Secretary",,anna@hskgene.com,,,,"Full-time undergraduate students of any discipline will be considered. Working period: Nov 2024-Feb 2025. 
Interested parties please send your (I) full resume, (II) transcripts, and (III) availability to anna@hskgene.com. Please use ""Application for HSK GeneTech_Intern‐‐Applicant name"" as the subject of your email.",Healthcare / Pharmaceutical / Biomedical,"Marketing / Market Research
Creative / Design / Artist
Sales / Account Servicing / Business Development"
Business Analyst,Global Sharp International Limited,JIS00335168,2024-09-01,2024-09-15,"Full Time, Graduate",HKD ($) 23K - 27K per month,2,"HK Island, Hong Kong","MULTIABLE is the leading enterprise management system developer in Hong Kong with more than 6,000 corporate clients in Hong Kong, Singapore, Malaysia, China and other APAC regions. We are one of the very few IT firms in the region with commitment in cutting edge R&D instead of just being a reseller of foreign IT products.
Over 300 talented individuals, located among Hong Kong, Singapore, Guangzhou, Shenzhen and Shanghai, have joined us and now enjoy being part of a unique adventure. We are constantly reinforcing our team and would like to invite you to be one of us.
It is a core part of our people strategy to nurture and elevate the value of our human capital for achieving long term business success. Our HR policy is dedicated to excavating the young and high potential people to excel in project management and the IT industry and to grow with us.
Fresh graduates are welcome and a comprehensive development program including job rotation will be provided to the right candidates for securing their career path.
You will:
Receive in-house and external training on various IT know-how
Perform user requirement collection
Provide quality recommendations upon business process re-engineering (BPR)
Deliver cost-and-benefit analysis for enterprise customers with respect to different configurations
Prepare UAT script and help customer to conduct relevant executions
Have infrequent business trip to Singapore / PRC / Malaysia / UK

**Information collected are strictly confined to recruitment purposes only.","You should have/be:
Degree holder or above
A numeric-sensitive person
Knowledge in ERP industry preferred but not essential
Formal training in corporate accounting, human resource or operation management preferred
Strong business insight with creative thinking
Self-motivation and ability to work independently under pressure
Passionate for continuous improvement and learning
Excellent verbal and written communication skills
Good command of both Chinese and English",2021 - 2024,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor",None,"MULTIABLE is the leading enterprise management system developer in Hong Kong with more than 6,000 corporate clients in Hong Kong, Singapore, Malaysia, China and other APAC regions. We are one of the very few IT firms in the region with commitment in cutting edge R&D instead of just being a reseller of foreign IT products.
Over 300 talented individuals, located among Hong Kong, Singapore, Guangzhou, Shenzhen and Shanghai, have joined us and now enjoy being part of a unique adventure. We are constantly reinforcing our team and would like to invite you to be one of us.
It is a core part of our people strategy to nurture and elevate the value of our human capital for achieving long term business success. Our HR policy is dedicated to excavating the young and high potential people to excel in project management and the IT industry and to grow with us.
A comprehensive development program including job rotation will be provided to the right candidates for securing their career path.",,"1/F Dominion Centre, 43-56 Queen's Road East Wanchai, Hong Kong",hrd.hk@multiable.com,25299912,25273253,http://www.multiable.com,Application letter with resume,Information Technology / Telecom / Technology,"IT / Programming
Management Consultant / Business Analyst
Management Trainee"
Junior Accountant,Bentley Reid & Company Limited,JIS00336210,2024-08-31,2024-09-29,"Full Time, Graduate",Negotiable,1,Central,"Job Highlights:
Fresh graduates are welcome
Stable and work life balance working environment
15-20 days annual leave
Responsibilities:
Handle daily accounting functions, including processing payment and receipt and preparing vouchers.
Assist seniors in month end closing, including bank reconciliation and prepare supporting schedules.
Assist seniors in annual budgets, forecasts and other ad hoc duties.","Diploma or above in accounting.
1-2 years of experience, fresh graduates will also be considered.
Proficient knowledge in MS Excel, MS Word and Outlook.
Proactive and well-organized team player.
Good English and Cantonese communication skills.",2021 - 2024,Accounting & Finance,"Higher Diploma / Associate Degree, Bachelor",1 year,"Bentley Reid & Company Limited provides financial advices (including investment and tax advices) to wealthy individuals and families.
www.bentleyreid.com",,"24/F Diamond Exchange Building, 8-10 Duddell Street, Central, Hong Kong",cv@bentleyreid.com,28101233,,,"An attractive remuneration package will be offered to the right candidate.
If you would like to form part of our team, please send your full career details, together with current salary and expected salary by email to cv@bentleyreid.com.
Personal data collected will be kept in strict confidence, and will be used for recruitment purposes only.",Accounting / Audit / Taxation,Accounting / Auditing / Tax
Relationship Officer - Corporate Banking,Bangkok Bank Public Co. Ltd.,JIS00336236,2024-08-31,2024-09-29,"Full Time, Graduate",Negotiable,1,Hong Kong - Hong Kong Island,"Corporate Banking at Bangkok Bank Hong Kong Branch provides opportunities for RO to excel themselves in the broad spectrum of portfolio ranging from trade finance to local conglomerates, multinational cross border businesses and project finance.
Bangkok Bank as one of the biggest banks in Southeast Asia and key participants of belt and road initiatives provides unique experience and long-term career prospects.
Responsibilities:
Assist Relationship Manager in managing and developing a portfolio of corporate banking customer with an aim to deepen and broaden relationships with our clients
Review credit facilities, perform credit analysis and prepare credit proposals
Conduct review and take proactive measures to ensure credit quality
Handle ad-hoc assignments / projects as and when needed","Requirements:
University degree in Finance, Business Administration or related disciplines
Strong self-motivation and ability to work under pressure
Strong communication, interpersonal and analytical skills
Proficient in both English and Chinese, fluency in Putonghua an advantage",2023 - 2024,"Accounting & Finance, Business Administration",Bachelor,None,"Established in 1944, Bangkok Bank is one of the largest regional banks in Southeast Asia. We are a leading bank in Thailand and a market leader in corporate and business banking serving large corporations and multinationals across a wide range of industries.

Our international network includes more than 200 overseas branches in 14 economies - Cambodia, China, Hong Kong, Indonesia, Japan, Laos, Malaysia, Myanmar, the Philippines, Singapore, Taiwan, the United Kingdom, the United States and Vietnam.  We are the only Thai bank with a substantial presence in China, through our wholly-owned subsidiary Bangkok Bank (China).  We provide customers with financial and business advice and work with them as a trusted partner to create value for their business.

We are now seeking a high caliber candidate to join our Hong Kong Branch.",Please address your application to : Human Resources,"28 Des Voeux Road Central, Hong Kong",recruit.hkg@bangkokbank.com,28016535,,,"We offer excellent career prospects to the right candidate.  Salary will be commensurate with qualifications and experience.  Interested parties please apply with full resume, stating current / expected salary and availability.

Personal data provided by job applications will be used solely for considering suitability for the post and strictly in accordance with our personal data policies which are available on request.

(Only shortlisted candidates will be contacted.)",Banking / Financial Services,Banking and Finance Executive
Systems Operator Trainee,Bangkok Bank Public Co. Ltd.,JIS00336238,2024-08-31,2024-09-29,"Full Time, Graduate",Negotiable,1,Central,We are now seeking a high caliber candidate to join our Hong Kong Branch.,"• HKCEE / HKDSE holder or above
• No working experience required but candidate with AS400 experience will be an advantage
• A thorough training program for those who want to start their career in Banking IT industry
• Willing to work shift duty on rotation basis
• A good career advancement into technical support, systems programmers or business analyst
(Candidates with more experience will be considered as Systems Operator.)",2023 - 2024,Any Discipline,Bachelor,None,"Established in 1944, Bangkok Bank is one of the largest regional banks in Southeast Asia. We are a leading bank in Thailand and a market leader in corporate and business banking serving large corporations and multinationals across a wide range of industries.

Our international network includes more than 200 overseas branches in 14 economies - Cambodia, China, Hong Kong, Indonesia, Japan, Laos, Malaysia, Myanmar, the Philippines, Singapore, Taiwan, the United Kingdom, the United States and Vietnam.  We are the only Thai bank with a substantial presence in China, through our wholly-owned subsidiary Bangkok Bank (China).  We provide customers with financial and business advice and work with them as a trusted partner to create value for their business.

We are now seeking a high caliber candidate to join our Hong Kong Branch.",,"28 Des Voeux Road Central, Hong Kong",recruit.hkg@bangkokbank.com,28016535,,,"We offer excellent career prospects to the right candidate. Salary will be commensurate with qualifications and experience. Interested parties please apply with full resume, stating current / expected salary and availability.
Personal data provided by job applicants will be used solely for considering suitability for the post and strictly in accordance with our personal data policies which are available on request.
(Only shortlisted candidates will be contacted.)",Banking / Financial Services,IT / Programming
"Treasury Settlement Assistant - FX/MM, Derivatives and Securities",Bangkok Bank Public Co. Ltd.,JIS00336242,2024-08-31,2024-09-29,"Full Time, Graduate",Negotiable,1,Hong Kong - Hong Kong Island,"Responsibilities:
Perform daily Settlement duties and Interbank funds transfer
Construct SWIFT and CHATS payments messages via SWIFT Alliance system
Participate in system development, including UAT and system migration
Maintain document filing system and handle other administrative duties
Perform ad-hoc duties as and when assigned ","Requirements:
Degree holder in Business Management, Finance or other related disciplines
Experience in banking Treasury Settlement would be a definite advantage
Fresh graduates will also be considered
Team player with self-motivated and positive attitude
Willing to work overtime. Diligent and able to work under pressure and meet tight timelines.
Proficiency in PC skills (MS Excel and Word)
Good written and spoken English & Chinese",2023 - 2024,"Accounting & Finance, Business Administration",Bachelor,None,"Established in 1944, Bangkok Bank is one of the largest regional banks in Southeast Asia. We are a leading bank in Thailand and a market leader in corporate and business banking serving large corporations and multinationals across a wide range of industries.

Our international network includes more than 200 overseas branches in 14 economies - Cambodia, China, Hong Kong, Indonesia, Japan, Laos, Malaysia, Myanmar, the Philippines, Singapore, Taiwan, the United Kingdom, the United States and Vietnam.  We are the only Thai bank with a substantial presence in China, through our wholly-owned subsidiary Bangkok Bank (China).  We provide customers with financial and business advice and work with them as a trusted partner to create value for their business.

We are now seeking a high caliber candidate to join our Hong Kong Branch.",Please address your application to : Human Resources,"28 Des Voeux Road Central, Hong Kong",recruit.hkg@bangkokbank.com,28016535,,,"We offer excellent career prospects to the right candidate.  Salary will be commensurate with qualifications and experience.  Interested parties please apply with full resume, stating current / expected salary and availability.

Personal data provided by job applications will be used solely for considering suitability for the post and strictly in accordance with our personal data policies which are available on request.

(Only shortlisted candidates will be contacted.)",Banking / Financial Services,Banking and Finance Executive
Systems Operator Trainee,Bangkok Bank Public Co. Ltd.,JIS00336238,2024-08-31,2024-09-29,"Full Time, Graduate",Negotiable,1,Central,We are now seeking a high caliber candidate to join our Hong Kong Branch.,"• HKCEE / HKDSE holder or above
• No working experience required but candidate with AS400 experience will be an advantage
• A thorough training program for those who want to start their career in Banking IT industry
• Willing to work shift duty on rotation basis
• A good career advancement into technical support, systems programmers or business analyst
(Candidates with more experience will be considered as Systems Operator.)",2023 - 2024,Any Discipline,Bachelor,None,"Established in 1944, Bangkok Bank is one of the largest regional banks in Southeast Asia. We are a leading bank in Thailand and a market leader in corporate and business banking serving large corporations and multinationals across a wide range of industries.

Our international network includes more than 200 overseas branches in 14 economies - Cambodia, China, Hong Kong, Indonesia, Japan, Laos, Malaysia, Myanmar, the Philippines, Singapore, Taiwan, the United Kingdom, the United States and Vietnam.  We are the only Thai bank with a substantial presence in China, through our wholly-owned subsidiary Bangkok Bank (China).  We provide customers with financial and business advice and work with them as a trusted partner to create value for their business.

We are now seeking a high caliber candidate to join our Hong Kong Branch.",,"28 Des Voeux Road Central, Hong Kong",recruit.hkg@bangkokbank.com,28016535,,,"We offer excellent career prospects to the right candidate. Salary will be commensurate with qualifications and experience. Interested parties please apply with full resume, stating current / expected salary and availability.
Personal data provided by job applicants will be used solely for considering suitability for the post and strictly in accordance with our personal data policies which are available on request.
(Only shortlisted candidates will be contacted.)",Banking / Financial Services,IT / Programming
Relationship Officer - Corporate Banking,Bangkok Bank Public Co. Ltd.,JIS00336236,2024-08-31,2024-09-29,"Full Time, Graduate",Negotiable,1,Hong Kong - Hong Kong Island,"Corporate Banking at Bangkok Bank Hong Kong Branch provides opportunities for RO to excel themselves in the broad spectrum of portfolio ranging from trade finance to local conglomerates, multinational cross border businesses and project finance.
Bangkok Bank as one of the biggest banks in Southeast Asia and key participants of belt and road initiatives provides unique experience and long-term career prospects.
Responsibilities:
Assist Relationship Manager in managing and developing a portfolio of corporate banking customer with an aim to deepen and broaden relationships with our clients
Review credit facilities, perform credit analysis and prepare credit proposals
Conduct review and take proactive measures to ensure credit quality
Handle ad-hoc assignments / projects as and when needed","Requirements:
University degree in Finance, Business Administration or related disciplines
Strong self-motivation and ability to work under pressure
Strong communication, interpersonal and analytical skills
Proficient in both English and Chinese, fluency in Putonghua an advantage",2023 - 2024,"Accounting & Finance, Business Administration",Bachelor,None,"Established in 1944, Bangkok Bank is one of the largest regional banks in Southeast Asia. We are a leading bank in Thailand and a market leader in corporate and business banking serving large corporations and multinationals across a wide range of industries.

Our international network includes more than 200 overseas branches in 14 economies - Cambodia, China, Hong Kong, Indonesia, Japan, Laos, Malaysia, Myanmar, the Philippines, Singapore, Taiwan, the United Kingdom, the United States and Vietnam.  We are the only Thai bank with a substantial presence in China, through our wholly-owned subsidiary Bangkok Bank (China).  We provide customers with financial and business advice and work with them as a trusted partner to create value for their business.

We are now seeking a high caliber candidate to join our Hong Kong Branch.",Please address your application to : Human Resources,"28 Des Voeux Road Central, Hong Kong",recruit.hkg@bangkokbank.com,28016535,,,"We offer excellent career prospects to the right candidate.  Salary will be commensurate with qualifications and experience.  Interested parties please apply with full resume, stating current / expected salary and availability.

Personal data provided by job applications will be used solely for considering suitability for the post and strictly in accordance with our personal data policies which are available on request.

(Only shortlisted candidates will be contacted.)",Banking / Financial Services,Banking and Finance Executive
Academic Coordinator (Half-day Regular),Enrich Learning Development Limited,JIS00336367,2024-08-31,2024-09-28,"Part Time, Graduate",HKD ($) 11.5K - 11.8K per month,1,Hong Kong - Kowloon,"本中心為太子區一所中學教育中心，現誠聘半日全職補習教務助理，詳情如下：
工作性質：負責整理教材、替學生核對功課及進行課後溫習。
學歷要求：大專程度，中英文良好。
其他要求：有責任心、愛心及耐性，有同類經驗者優先。
上班時間：星期一至五下午2:30-7:30","學歷要求：大專程度，中英文良好。
其他要求：有責任心、愛心及耐性，有同類經驗者優先",2021 - 2029,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",None,本中心為太子區一所中學教育中心。,,"1/F 200 Prince Edward Road West, Kowloon",cs@enrichlc.com,23900887,,,Please send your full CV with public examination results to our company email address.,Education,"Education
Teaching
Others"
Backend Developer,Techlution Service Limited,JIS00336317,2024-08-31,2024-09-29,"Full Time, Graduate",HKD ($) 16K - 20K per month,2,Kwun Tong,"Responsibilities:
Reponsible for API server and Database development and implement of deliverables according to specification in a project based development environment.
Analyse users' requirements and implement to application features accordingly.
Responsible for server design, development, testing, implementation, enhancement and maintenance.
Assist in ad hoc task when required","Requirements:
Student of bachelor's degree or above in Computer Science, Computer Engineering, Information Technology, or related disciplines.
Knowledge in React Native or React.js is highly preferred.
Knowledge in Vue.js is advantageous.
Creative, self-motivated, initiative, well-organized, details-oriented and able to work under pressure.
Good team player with excellent interpersonal and communication skills.",2024 - 2026,"Computer Science & Engineering, Computer & Information Sciences, Computing & Software Technologies, Computing",Bachelor,None,"Techultion is a reputable cloud-based IT solution service provider in Hong Kong.  We utilize AI technology, analytic and programming skills to provide comprehensive solutions design to optimize business performance, help to overcome various industry operational challenges and create new businss opportunities.
Please go to visit our website https://techlution.io to know more about us.","Please address your application to : Macy Chow, HR Officer, HR Department","FLAT 08, 25/F, NANYANG PLAZA, 57 HUNG TO ROAD, KWUN TONG, KOWLOON, HONG KONG",macy.chow@techlutionservice.com,94118130,,https://techlution.io/,,Information Technology / Telecom / Technology,IT / Programming
ABA Therapist with Professional Training (5-days work) - Fresh Graduates are welcome,Autism Partnership Limited,JIS00336352,2024-08-31,2024-09-12,"Full Time, Graduate",HKD ($) 15K - 22K per month,10,Hong Kong - Kowloon,"Job Highlights
  Comprehensive training under our Training Academy
  Overseas Job opportunities for 10 office worldwide
  Guarantee Promotion Based on Skills Acquisition
Job Description
Benefits
In-depth Didactic and Hands-on Training from our Training Academy
Overseas Working Opportunities
International Relocation Opportunities
Guarantee Promotion Based on Skills Acquisition
Ongoing mentorship program and regular on-job training
Performance Bonus
Opportunity for rapid career advancement
Strong team of over 400 full time pyshologist , therapist and supervisor in 10 office wordwide, including, USA, Canada, United Kingdom, Australia, Singapore, Philippines ,Korea, Kuwait, China – Beijing and Hong Kong.
Work-life Balance - 5 Days working with no OT
Open-mind, flexible, friendly, respectful and fun company culture
Annually team-building activities + Annual Dinner!
 Applicants should be :
Highly passionate towards children/young adults
Bilingual in Cantonese and English
Degree holder (Fresh graduates are welcome)
Excellent interpersonal and communication skills
Energetic and outgoing","Teaching children with autism is a very unique profession and it requires patience, enthusiasm and commitment.  Autism Partnership would like to invite high caliber and energetic individuals to join us as Behavioral Therapists to implement 1 on 1 therapy and group treatment programs.
What is your role?
Behavioral Therapists will implement treatment programs locally and overseas, observe and record children’s behaviors, monitor student progress, participate in clinics and team meetings, and receive pre-service and ongoing training from Program Supervisors and Consultants. ",2020 - 2024,Any Discipline,"Master / Postgraduate Diploma, Bachelor",None,"Autism Partnership (AP), formed in 1994 in Los Angeles, California, is one of the world's largest and most established Applied Behavior Analysis (ABA) service providers for Autism Spectrum Disorders with over 50 years of experience.
AP Hong Kong opened in 1999 and is the first organization in Hong Kong to specialize in designing progressive ABA treatment services for children with ASD. AP Hong Kong office has over 21,000 sq feet with huge resources of learning material and carefully selected toys that sets the best learning environment and facilities. AP currently has centres in 9 countries including United States, United Kingdom, Canada, China, Singapore, Philippines, Korea, Australia and Kuwait, with over 300 full-time psychologists, therapists and supervisors dedicated to serve children with ASD.",,"7/F 633 King's Road, North Point, Hong Kong.",hr@autismpartnershiphk.com,852 25263812,852 29824403,http://www.autismpartnershiphk.com,,Education,Education
