Title,Company,Reference Code,Posted Date,Closing Date,Employment Mode,Salary,Vacancy,Location,Job Description,Skills & Requirements,Graduation Year,Fields of Study,Education Level (pursuing / obtained),Required Level of Work Experience,About Company,Application Methods,Address,Email,Phone,Fax,Website,Note,Nature of Business,Job Categories
Project Coordinator/ Sales Coordinator,Maxgrand Limited,JIS00335933,2024-08-23,2024-09-21,"Full Time, Graduate",HKD ($) 15K - 16K per month,1,Kwai Hing,"assist in coordination of the projects.
assist in project management and statutory submissions for development projects.
assist in order processing and issuing quotations.
samples / production arrangement.
liaise with customers and suppliers.","Proficiency in Microsoft Word, Excel 
Detailed-mind, Independent and out-going personality.",2020 - 2023,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",None,"Maxgrand Limited is a leading supplier of lighting supplier based in Hong Kong. We specialize in providing customized lighting solutions to our customers.  We work closely with government agencies, academic institutions, commercial and residential businesses, hospitality operators, hospitals, shopping arcades, retail and F&B chain stores.

With 30 years of lighting experience, we provide comprehensive & reliable lighting solutions. Offer extend from professional consultation & technical support, through to supply of quality luminaires.

We currently have openings and would like to invite potential individual to join us.  You are welcome to visit our website: https://www.maxgrand.com.hk",,"Unit B2,6/F, Block B, Easten Sea Industrial Building, 48-56 Tai Lin Pai Road, Kwai Chung, N.T., Hong kong",hr.dept@maxgrand.com.hk,39276363,39276371,,Please send your CV with expected salary stated.,Trading / Sourcing / Merchandising,"Sales / Account Servicing / Business Development
Merchandising / Buying
Marketing / Market Research"
Assistant Engineer/Assistant Engineer Trainee (5 days' work),Maxgrand Limited,JIS00335934,2024-08-23,2024-09-21,"Full Time, Graduate",HKD ($) 16K - 22K per month,2,Kwai Hing,"  Provide advice and assistance to salesperson for lighting projects follow up;
Provide technical support for customers;
Report to sales manager and senior engineer ;","Diploma/ High Diploma / electronic Engr./IT/Building Services/ or related discipline/experience.
Fresh Graduate will also be considered.
Good computer skills on MS Word, Excel.
Knowledge in AutoCAD is preferred.
Good problem solving skills, able to work independently and Self-motivated.
Willing to work outside for on-site support and coordination. ",2021 - 2024,"Electrical / Electronic / Energy Engineering, Building Services Engineering","Higher Diploma / Associate Degree, Bachelor, Master / Postgraduate Diploma",None,Maxgrand Limited is a leading supplier of lighting fixtures and accessories based in Hong Kong. We specialize in providing customized lighting solutions to our customers. We currently have openings and would like to invite potential individual to join us.,,"Unit B2,6/F, Block B, Easten Sea Industrial Building, 48-56 Tai Lin Pai Road, Kwai Chung, N.T., Hong kong",hr.dept@maxgrand.com.hk,39276363,39276371,https://maxgrand.com.hk/,"We offer attractive remuneration package with double pay, bonus and medical  insurance to the right candidate. Please send your CV with expected salary stated to hr.dept@maxgrand.com.hk",Trading / Sourcing / Merchandising,"Engineering - Construction / Building Services
Engineering - Electronic / Industrial / Electrical / Mechanical and others"
全職英文教室導師 Centre Tutor (English) - 馬鞍山 / 荃灣 / 大角咀,EDUSMART COMPANY LIMITED,JIS00335937,2024-08-23,2024-09-21,"Full Time, Graduate",Negotiable,3,Ma On Shan / Tsuen Wan / Tai Kok Tsui,"Teach English in a small group of children (aged 3 - 12 years old)
Update curriculum/lesson plan and prepare related teaching materials
Liaise with parents to provide best learning solutions so that students motivated to learn
Supervise part time tutors to provide top level teaching to children
Perform centre administrative work","Degree Holder or above in any disciplines
1 years or above of teaching / tutoring experience in the field of education or learning centre
Good written and spoken English
Good communication skill and love communicating with kids
Detail-minded, positive, eager to learn, ability to work independently with good team spirit
Candidate with more experience will be considered as Senior Tutor
Fresh graduates are also welcomed
EduSmart offers (for Full-Time staff):
5-day-work week
Bank Holiday
Monthly Performance incentive bonus
New joiner bonus
Comprehensive medical insurance (clinical & hospitalization)
Birthday Leave
Paid Annual Leave
MPF Contribution",2020 - 2024,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor",1 year,"大衆教室
Popular Learning
(A member of Popular Holdings Ltd)
  自2020年起，大衆教室不斷擴展教育版圖，下月更將開辦第20間分校。為了配合教室的發展，現誠邀具教學熱誠的您加入我們的教學團隊。大衆教室會提供充足的在職培訓，您亦有機會接觸教室日常營運的各種相關工作，助您發展個人教育事業！想了解更多，可參閱大衆教室網頁：https://www.popularlearning.com.hk",,"14/F, Tsuen Wan Industrial Centre, 220-248 Texaco Road, Tsuen Wan, Hong Kong",hr03@popularworld.com,29426593,,,"Interested parties please apply with your full resume stating present, expected salary and academic results (e.g. HKDSE / transcript) by clicking ""Apply Now"".",Education,"Education
Teaching
Others"
全職中文教室導師 Centre Tutor - 荃灣,EDUSMART COMPANY LIMITED,JIS00335938,2024-08-23,2024-09-21,"Full Time, Graduate",Negotiable,1,荃灣,"教授小學 / 幼兒  中文  專科班
管理課室秩序，確保教學順利進行
準備教材、備課及批改學生功課
定期與家長聯絡，跟進學生學習進度","學士學位或以上
具至少1年或以上教學經驗
熟悉香港學制 (小學/幼稚園)
對教學有熱誠、細心，盡責
良好溝通技巧，能獨立與家長溝通、跟進學生進度及處理問題
具豐富教學經驗者，可被考慮為高級教室導師
歡迎應屆畢業生申請
福利待遇：
5天工作
在職培訓
每月績效獎金
有薪年假、產假、侍產假
生日假
新人獎金",2020 - 2024,Any Discipline,"Master / Postgraduate Diploma, Bachelor, Doctorate or above",1 year,"大衆教室
Popular Learning
(A member of Popular Holdings Ltd)
  為了配合教室的發展，現誠邀具教學熱誠的您加入我們的教學團隊。大衆教室會提供充足的在職培訓，您亦有機會接觸教室日常營運的各種相關工作，助您發展個人教育事業！想了解更多，可參閱大衆教室網頁：https://www.popularlearning.com.hk",,"14/F, Tsuen Wan Industrial Centre, 220-248 Texaco Road, Tsuen Wan, Hong Kong",hr03@popularworld.com,29426593,24192290,,"有興趣者，請將個人履歷、會考/ DSE學歷成績連同現時及期望薪酬, 可到職日期, 按""Apply Now""申請或 Whatsapp 96887362 了解空缺資訊。 ",Education,"Education
Teaching
Others"
销售交易岗,Shanxi Securities International Financial Holdings Limited,JIS00335939,2024-08-23,2024-09-21,"Full Time, Graduate",HKD ($) 20K - 35K per month,1,Admiralty,"支持和覆盖现有机构客户并有策略地进一步扩展客户群
参与一二级市场销售交易，在交易沟通和执行中提供支持；与交易和产品团队合作，为客户提供跨资产的解决方案；与部门主管合作，执行公司战略项目，并为平台的发展做出贡献
为公司开拓发展机构客户，如境外家族办公室、境外企业、中资机构等有境外投资需求的客户；维护机构投资者客户关系，主动了解客户在交易上之需求并提供解决方案，以达成帐户规划并完成销售交易目标
协助公司完成销售，按照销售交易团队业务发展，参与项目执行工作、协助项目推进及实施","硕士学历为佳；具备销售岗位所需的资质，如积极上进、勤奋、战略思维能力以及敏锐的市场意识等
1年以上销售工作经验，业绩和客户基础良好；优秀的人际交往能力，以及优秀的社交和团队合作能力
能够流利使用英语和普通话，精通粤语加分
熟悉销售和分析工具",2021 - 2023,Any Discipline,"Bachelor, Master / Postgraduate Diploma",1 year,"山證國際金融控股有限公司「山證國際：山證國際金控及其全資附屬子公司」（前稱格林大華期貨（香港）有限公司），於2006年4月在港註冊成立，為首批獲中國證券監督管理委員會批准赴港設立子公司的三家內地期貨公司之一的全資子公司。
「山證國際」 擁有香港證監會頒發的第1類（證券交易）、第2類（期貨合約交易）、第4類（就證券交易提供意見）、第5類（就期貨合約交易提供意見）、第6類（就機構融資提供意見）和第9類（提供資產管理）受規管業務牌照，公司現為香港聯交所「交易所參與者」及「中華通交易所參與者」、香港結算「直接結算參與者」及「中華通結算參與者」、香港期貨交易所「期貨交易商」，以及香港期貨結算所「結算參與者」；同時擁有管理公募基金資格、中國合格境外機構投資者（QFII）資格、債券通境外機構資格、新加坡交易所「衍生品交易會員」資格及大連商品交易所「境外中介機構」資格；並與CME Group、SGX、ICE、LME、LIFFE及EUREX等交易所保持緊密聯繫及合作，讓客戶的投資與國際市場暢通無阻。",,"Unit A, 29/F, Tower One, Admiralty Centre, 18 Harcourt Rd, Admiralty, Hong Kong",hr@ssif.com.hk,,,https://www.ssif.com.hk/main_hk/homePage/index.shtml,,Banking / Financial Services,"Banking and Finance Executive
Sales / Account Servicing / Business Development"
Operations and Administration Officer,MediConCen Limited,JIS00335944,2024-08-23,2024-09-21,"Full Time, Graduate",HKD ($) 17K - 19K per month,1,Hong Kong - Kowloon,"Role & Responsibilities 
Perform daily operational tasks to ensure compliance with service-level agreements for turnaround time and accuracy
Collaborate cross-functionally to address customer issues promptly
Manage partner queries and work with offshore customer service team
Handle invoicing, payments, and basic accounting tasks
Procure and maintain office supplies and marketing inventory
Provide overall administrative support and front desk assistance
Perform other duties as assigned by supervisor","Requirements 
Fresh graduates welcome
Bachelor's Degree holder is preferred
Minimum 1-2 years operation and administrative experience
Excellent in Microsoft Excel and Microsoft Word
Good in spoken / writing skills in both English and Chinese
Able to co-operate in a harmonious and productive manner with supervisor
Employment and remuneration 
5-day working week
Double pay and discretionary bonus
Annual leave and bank holidays
Amazing group medical and dental benefits 
Free vaccination and body check up",2021 - 2024,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",None,"Established in 2018, MediConCen is a Hong Kong-leading InsurTech company, awarded in numerous local and international competitions. MediConCen is the first in Hong Kong to utilize blockchain technology to provide clients with seamless and automatic experience in insurance claims. MediConCen partners with various insurance companies and more than 1,200 doctors in Hong Kong, including western medicine clinics, physiotherapy centers, Chinese Herbalist clinics, dental clinics and others. ",Please address your application to : HR Manager,"Units 1501-02, 15/F, Port 33, 33 Tseuk Luk Street, San Po Kong, Kowloon, Hong Kong",recruit@mediconcen.com,3183 4777,,https://www.mediconcen.com,,Information Technology / Telecom / Technology,"Administration - Private Sector
Customer Services - Retail / Hotel / Tourism and Others
Others"
Systems Engineer for Hedge Funds (Full time in Hong Kong),Premier Technology Global Limited,JIS00335946,2024-08-23,2024-09-19,"Full Time, Graduate",Negotiable,1,Central,"Key Responsibilities:
• Implementation and support of our client’s IT Infrastructure
• Responsible for systems/technical support and administration on network, desktop/server hardware and software, and application systems
• Provide Level 1 – 3 support for incidents and problem resolution
• Interact with other team members and other teams to progress projects and incidents","Specific Qualifications:
• University degree IT / Engineering or equivalent
• Understanding in Windows platforms including Microsoft Windows 10/11, Microsoft Office 2019/2016, Windows Server 2019/2016 (Active Directory Administration / Group Policy), Microsoft Exchange Server
• Understanding of networking concepts: TCP/IP, LAN/WAN, DHCP, DNS, Routing, Switching/Firewall, Azure, AWS
• Self-starter who is confident, action and results orientated
• Must be attentive to detail, proactive and have strong troubleshooting skills
• Technical, analytical, interpersonal and organisation skills required",2024 - 2026,Any Discipline,Bachelor,None,"Premier Technology provides proactive IT strategy, systems design as well as ongoing support to optimise your business operations efficiency, increase productivity and maximise profitability. Our comprehensive approach will ensure your IT investment enhances your business. You can leave the ongoing maintenance of your IT systems to our team of professionals giving you more time to take your business to the next level.
For more information, please visit https://www.premier-technology.com",Please address your application to : Alan Wong,"Suite B, 21/F, 128 Wellington Street, Central, Hong Kong",careers@premier-technology.com,+852 36100289,+852 30200213,http://www.premier-technology.com,,Information Technology / Telecom / Technology,IT / Programming
(Part Time / Freelance) Dodgeball Tutor (兼職 / 自由工作者) 躲避盤 導師,Life Learn Limited,JIS00336006,2024-08-23,2024-09-21,"Full Time, Graduate",HKD ($) 150 - 200 per hour,1,Hong Kong - New Territories,"準時守時，工作有交代，有責任心；
以小組教授學生基本的躲避盤的理論知識，訓練技術，戰術和體能；
優先錄取：
如有相關證書及小組教授經驗者；
如有教授特殊學習需要（SEN）學生經驗；
如有帶領隊員參加公開比賽
Work punctually & be responsible for teaching
Teach skills and knowledge of Dodgebee in a form of group
As an advantage:
Have related certificate and group teaching experience
Have working experience of teaching SEN students
Have experience in participating competition as a tutor",Knowledge and skills of Dodgebee ,2021 - 2028,Any Discipline,"Higher Diploma / Associate Degree, Bachelor, Master / Postgraduate Diploma, Doctorate or above",None,"Life Learn (HK) 動學人生 is a fast growth event management company, especially on organizing large-scale activities, corporate training, team building programmes, digital marketing solutions for clients. We are one of leader in providing innovation non-academic courses for all secondary schools in Hong Kong, include local, international, and special schools. Besides, we have a professional team on teaching special education need students and mentally handicapped students.
We focus on corporate social responsibilities, have more than 500 registered volunteers on providing various services to our community. Aims of our volunteer team are:
Caring on underprivileged person
Promoting newly hot sports
Building development platform for youth
Protecting environment
Caring on animals",,"Unit 31,5/F, Thriving Industrial Centre, 26-38 Sha Tsui Road, Tsuen Wan, N.T., Hong Kong",HR-Dept@LifeLearnHK.com,6302-4604,2120-3676,http://www.LifeLearnHK.com,,Education,Education
Catering Sales Manager,Dragon Wealth Enterprises Limited,JIS00336007,2024-08-23,2024-09-20,"Full Time, Graduate",HKD ($) 20K - 24K per month,1,Sai Kung,"Identify new business opportunities and enhance sales on events and catering to achieve company’s goals
Develop strategic planning on event, project management and budget control
Maintain good relationship with guests and ensure professional interactions with local communities and business network
Drive and lead events from initial concept to final delivery to meet clients’ objectives
Prepare proposal and presentation to clients
Liaise with operation & F&B teams to ensure events are delivered professionally
Conduct market research on competitors’ analysis and market trend
To perform any other tasks as assigned by the supervisor or Department Head","Diploma or above in Hospitality Management or related disciplines
Minimum 6 year of catering / event sales experience in hospitality industry
Good interpersonal and communication skills
Proactive, innovative, mature, service-oriented and result-oriented
Proficiency in computer software application
Excellent command of both written and spoken English, Cantonese and Mandarin",2021 - 2023,Hotel & Tourism Management,Bachelor,6 years,"WM Hotel Hong Kong, Vignette Collection is a newly built hotel and resort which is located inshore at the city of Sai Kung in Hong Kong, equipped with 260 guestrooms, most of the guestrooms overlooking the sea with balcony, food and beverage facilities, health centre, swimming pool, shopping arcade, car park and etc. We are sincerely inviting high calibre and energetic individuals to join our Team.
Vignette Collection is a diverse group of luxury hotels with a fresh focus, offering guests a more authentic and thoughtful way to travel.
We’ve created a collection brand that gives guests and colleagues an inspiring new choice. One that puts people at the heart of everything we do, to reframe luxury hospitality for the better.
WM Hotel Hong Kong, Vignette Collection是一所位於香港西貢市中心全新興建的近海度假式酒店，酒店擁有260間客房，其大部份房間均建有陽台及可眺望海景，更備有餐飲設施，健身中心，泳池，商店及停車場等。 我們誠邀有幹勁並對工作充滿熱誠的您，加入我們這個大家庭。
Vignette Collection 洲至奢選是一家連鎖多元化豪華飯店品牌，為賓客打造更道地、更貼心的旅行方式。
我們打造的系列品牌為賓客和同事提供了許多選擇，不僅富有新意，更能激發靈感。我們的品牌以人為本，重新定義豪華待客之道。
我們的每家飯店都獨具風格，述說著各自的故事與來歷。讓我們攜手，一起走得更遠。 ",Please address your application to : Mr. To,"28 Wai Man Road, Sai Kung, N.T.",recruit@wmhotel.hk,2196 6888,,http://www.wmhotel.hk/en/home.html,,Hospitality / Catering / Tourism,"Customer Services - Retail / Hotel / Tourism and Others
Marketing / Market Research
Sales / Account Servicing / Business Development"
"Temporary Assistant, Compliance (Short-term contract, subject to renewal) (Ref: COM/TASST)",The Law Society of Hong Kong,JIS00335954,2024-08-23,2024-09-05,"Full Time, Graduate",Negotiable,1,Central,"The Law Society seeks applications from enthusiastic, detail-oriented and accountable person to fill the position of Temporary Assistant in the Compliance Department.
Job Duties:
To compile indices of files in MS Excel format;
To peruse files and locate original documents;
To pack files into boxes for storage; and
To perform other duties assigned by the Law Society.
Others:
On-the-job training will be provided
Working hours: 9:00 a.m. to 5:45 p.m. from Mondays to Fridays"," Requirements:
Proficiency in MS Excel and Chinese Word Processing is a must;
Mature, responsible, organized and able to work independently;
Office working experience is preferred; and
Immediately available.",2019 - 2029,"Accounting & Finance, Actuarial Science, Aerospace / Aviation Technician, Agriculture, Applied Biology, Applied Physics, Applied Science, Architecture / Landscape Architecture, Area & Ethnic Studies, Arts, Biochemistry, Bioinformatics, Building Surveying & Construction Management, Business Administration, Chemical Technology, Chemistry, China Studies, Chinese Language & Literature, Chinese Medicine, Civil / Structural Engineering, Cognitive Science, Communication, Computer & Information Sciences, Computing, Cultural Management / Studies, Dentistry, Design, Earth Sciences, Economics, Education, Electrical / Electronic / Energy Engineering, Engineering, English, Foreign Language & Literature, Geography / Urban Studies, Graphic & Commercial Arts, Health Professions, Health Sciences & Technology, History, Home Economics, Hotel & Tourism Management, Human Resources & Labour Relations, Humanities, Industrial & Manufacturing Systems Engineering, Information System Management, International Business and Global Management, Journalism, Land Surveying & Geo-informatics, Languages / Linguistics, Law, Liberal Arts / General Studies, Logistics / Supply Chain Management, Marketing, Mathematics / Statistics, Mechanical Engineering, Medical Sciences, Medicine, Music, Natural Resources / Environmental Sciences, Nursing, Optometry, Parks & Recreation, Pharmacy, Philosophy / Religion, Physical Sciences, Politics and Public Administration, Protective Services, Psychology, Radiography, Real Estate, Rehabilitation Sciences, Risk & Insurance Management, Science, Shipping Technology & Management, Social Sciences, Social Work, Textile & Clothing, Theology, Trade & Industry, Translation, Visual & Performing Arts, Others
...More","Bachelor, Higher Diploma / Associate Degree",None,The Law Society of Hong Kong is the professional association which regulates and promotes the development of solicitors' practices.,"Please address your application to : Assistant Director, Administration & Human Resources",,recruit@hklawsoc.org.hk,,,,"Interested parties please send your full curriculum vitae stating the reference number, expected salary and your available working period to the Assistant Director, Administration & Human Resources, The Law Society of Hong Kong, 3/F, Wing On House, 71 Des Voeux Road, Central, Hong Kong., or via email to recruit@hklawsoc.org.hk.  Please mark “Private and Confidential” on the envelope.
  *Personal data provided by job applicants will be used strictly in accordance with the Law Society’s personal data policies as set out in the Personal Information Collection Statement.  A copy of the Statement can be obtained from Assistant Director of Administration & Human Resources by calling 2846 0500.  Applicants not invited for interview within 6 weeks may consider their applications unsuccessful.*",Legal Services,"Administration - Non-private Sector
Administration - Private Sector
Legal / Compliance"
Sales Manager,Dragon Wealth Enterprises Limited,JIS00336009,2024-08-23,2024-09-20,"Full Time, Graduate",HKD ($) 20K - 35K per month,1,Sai Kung,"Responsible for developing new business and expanding the existing business in assigned areas
Prepare and submit a weekly sales call plan and sales call summary to Department Head monthly
Maintain liaison with the competitors through personal contacts and industry associations and meetings. Keep abreast of competitors’ sales activities, clients and promotions. Collect and keep up-to-date information concerning all competitors including details of the facilities and accounts
Supply sufficient supportive data to the Executive Assistant Manager - Sales & Marketing to produce the marketing plan and for budget planning
Deal with incentive groups, negotiate and conclude business contracts with in the best interest of hotel
Attend major functions i.e. trade show, local exhibitions and associations meetings to promote sales for the hotel
Organize hotel inspections and familiarization tours whenever required
Aggressively pursue conference and meeting business from all accounts and solicit new business in this area
To coordinate with the function organizer, monitor banquet activities and make sure that every function runs smoothly
Trace the final status of group reservations and follow up on the room requirements, meal arrangements, special functions, transportation, etc.
Deal with customers’ complaints and comments
Perform any other duties as assigned by Supervisors or Department Head
Responsible for developing new business and expanding the existing business in assigned areas","Diploma holder or above in Sales & Marketing or Hotel Management or related disciplines
Minimum 2 years’ experience in supervisory level in hotel sales department
Excellent interpersonal, communication and negotiation skills
Excellent command of both written and spoken English, Cantonese and Mandarin",2021 - 2024,Hotel & Tourism Management,Higher Diploma / Associate Degree,2 years,"Permanent Staff Enjoy全職員工可享:
Competitive Pay 可觀薪金
5-Day Work Week 五天工作周
Medical Benefits 醫療褔利
Discretionary Bonus 酌情性花紅
On-the-job Training 在職培訓
Promotion 升遷機會
Marriage Leave 婚假
Annual Leave 有薪年假
Duty Meal 免費膳食
Compassionate Leave 恩恤假
Staff Activities 員工活動
Transportation Allowance 交通津貼",Please address your application to : Mr. To,"28 Wai Man Road, Sai Kung, N.T.",recruit@wmhotel.hk,2196 6888,,http://www.wmhotel.hk/en/home.html,,Hospitality / Catering / Tourism,"Sales / Account Servicing / Business Development
Customer Services - Retail / Hotel / Tourism and Others"
"2025 Graduate Position - Accountant, Audit & Assurance Services (Oct 2025 Intake)",RSM Hong Kong,JIS00336011,2024-08-23,2024-09-21,"Full Time, Graduate",Negotiable,50,"Causeway Bay, Hong Kong","Responsibilities:
● Develop an understanding of RSM audit approach, methodology and tools.
● Participate in audits in a variety of tasks including controls testing and walkthroughs.
● Perform analytical review of audit documents.
● Review client accounting and operating procedures, as well as systems of internal control.
● Identify accounting and auditing issues; perform research to solve issues that arise.
● Prepare financial statement reports and documentation.
● Carry out administrative duties as required.","Requirements:
● Degree in Accountancy preferred.
● Good oral and written communication skills in English and Chinese (Cantonese & Putonghua).
● Strong analytical and problem-solving skills.",2025,Accounting & Finance,"Master / Postgraduate Diploma, Bachelor",None,"THE POWER OF BEING UNDERSTOOD 
RSM Hong Kong was established in 1975 and is today one of the leading accounting and consulting firms in Hong Kong, offering services to local, mainland China and international clients.
RSM Hong Kong is a member firm of RSM, the world’s 6th largest global network of independent audit, tax and consulting firms, encompassing across 120 countries, 820 offices with over 64,000 people internationally and a total network fee income of US$9.4 billion. RSM Hong Kong offers a truly international service and enjoys a client list comprising successful individuals and companies of all sizes, with different needs and from all parts of the world.
The services we offer to our clients are unique, like you, and we welcome and respect people’s individuality, which helps contributing to innovation and success. The commitment to our people’s personal development, to our clients and to our community has given RSM Hong Kong a strong reputation that helps us to attract and retain the best people.",,"29/F, Lee Garden Two, 28 Yun Ping Road, Causeway Bay, Hong Kong",,852 2598 5123,852 2598 7230,https://form.jotform.com/242342776030451,"RSM Hong Kong offers attractive rewards package and promising career prospects to the right candidates. Applicants please visit our website and submit online application.
Enquiry email : graduate@rsmhk.com
(Data collected will be used for recruitment purpose only)",Accounting / Audit / Taxation,Accounting / Auditing / Tax
兼職 到校面試培訓導師,Royal Learning Group Limited,JIS00336021,2024-08-23,2024-09-20,"Full Time, Graduate",Negotiable,1,"Hong Kong Island, Kowloon, New Territories","職責﹕
教授公司安排的到校面試課程, 主要對象為小學生
控制課堂秩序
   ","要求﹕
對教學有熱誠
良好的中英文讀寫能力
大學程度或以上學歷
中文及英文的DSE成績達level 3或以上或相等學歷
具有最少3個月的教學經驗 或 最少1年需與人交流的工作經驗
工作時間：星期一至五 14:00-18:00 或 星期六 08:00-18:00 (按照導師已選擇的到校面試培訓課程)
工作地點: 港九新界  (按照導師已選擇的到校面試培訓課程)
薪金: $150/ 小時
有意應徵者請點擊下列連結直接whatsapp聯絡 6360 4287
https://wa.me/85263604267/?text=有意申請應徵%0D%0A兼職-到校面試培訓導IC-000
Ref no.: IC-000",2019 - 2026,Any Discipline,Bachelor,1 year,"Royal Learning Group Limited has been providing secondary school interview training and education consultancy services for thousands of students and their parents since it first founded in 2008. We are committed to fostering students’ self-directed learning ability. Providing over 50 education products and services customized for the need of preschoolers, primary and junior secondary students, we strive to help students reach their full potential.
With the “people-oriented” education philosophy in mind, we too identify the development of our people as the top priority. We continue to develop and foster our people, offer learning opportunity for continual career growth. Our aim is to recruit diverse talent who could grow and evolve with our organization.
To learn more about our group:
。Royal Learning Centre: Secondary school interview training centre
www.royallearning.com
。Joy and Hope Tutorial Centre
www.joyandhope.edu.hk
。Cordate Education Centre
www.cordate.com.hk",,"Room D2C, 10/F, HK Spinners Industrial Building Phase 5, 760 Cheung Sha Wan Road, Lai Chi Kok, Kowloon, Hong Kong",hr@rlg.hk,6360 4267,,https://wa.me/85263604267/?text=有意申請應徵%0D%0A兼職-到校面試培訓導師IC-000,,Education,Education
Graduate Engineer,P&T (M&E) Limited,JIS00336012,2024-08-23,2024-09-18,"Full Time, Graduate",HKD ($) 11.2K - 22K per month,11,"North Point, Quarry Bay Station MTR -Exit C","2024's Fresh Gradautes or on before
Provide HKIE ""Scheme A"" Graduate Training
Support engineering design and work, planning, check design documentation in compliance with company technical standards","AutoCAD, BIM knowledge",2024,"Building Services Engineering, Electrical / Electronic / Energy Engineering, Mechanical Engineering",Bachelor,None,"P&T (M&E) Limited was formed in 1984 to complement the other professional activities of the P&T group to offer complete service in building industry. The predecessor of the M&E section was Hong Kong Land’s in-house company. With more than 10 years prior experience of high tech, high density office design, we are immediately able to offer a high level of expertise and professionalism. 
P&T (M&E) Limited is committed to the aim to pursue excellence in the building services engineering field. Every endeavour has been made to develop innovation capabilities to meet the ever changing technology including Building Information Modelling (BIM), Modular Integrated Construction (MiC), Integrated Design for Manufacturer and Assembly (DfMA) and Multi-trade Integrated MEP (MiMEP).
www.p-t-group.com","Please address your application to : P&T (M&E) Limited, Graduate Engineer, E&M","30/F, 633 King's Road, North Point, Hong Kong",ptme@p-t-group.com,852 2836 0002,852 2836 0132,http://www.p-t-group.com,"Interested, please send the full resume, transcript(s) and latest academic results",Engineering,Engineering - Construction / Building Services
"2025 Graduate Position - Consultant, Technology & Management Consulting (Aug 2025 Intake)",RSM Hong Kong,JIS00336013,2024-08-23,2024-09-21,"Full Time, Graduate",Negotiable,6,"Causeway Bay, Hong Kong","Responsibilities:
  ● Perform IT due diligence, cyber security review, IT audit and penetration testing.
● Participate to understand clients’ business/technical requirements as well as in system implementation – ERP and CRM.
● Handle and support other consulting services including IT strategy review, project management and business intelligence.","Requirements:
  ● Degree in Computer Science, Information Systems, or related disciplines.
● Good oral and written communication skills in English and Chinese (Cantonese & Putonghua).
● Strong analytical, troubleshooting and client servicing skills.
● Ability to work independently and willingness to travel.",2025,"Computer & Information Sciences, Information System Management, Information Systems & Analytics, Accounting & Finance","Master / Postgraduate Diploma, Bachelor",None,"THE POWER OF BEING UNDERSTOOD 
RSM Hong Kong was established in 1975 and is today one of the leading accounting and consulting firms in Hong Kong, offering services to local, mainland China and international clients.
RSM Hong Kong is a member firm of RSM, the world’s 6th largest global network of independent audit, tax and consulting firms, encompassing across 120 countries, 820 offices with over 64,000 people internationally and a total network fee income of US$9.4 billion. RSM Hong Kong offers a truly international service and enjoys a client list comprising successful individuals and companies of all sizes, with different needs and from all parts of the world.
The services we offer to our clients are unique, like you, and we welcome and respect people’s individuality, which helps contributing to innovation and success. The commitment to our people’s personal development, to our clients and to our community has given RSM Hong Kong a strong reputation that helps us to attract and retain the best people.",,"29/F, Lee Garden Two, 28 Yun Ping Road, Causeway Bay, Hong Kong",,852 2598 5123,852 2598 7230,https://form.jotform.com/242343546981462,"RSM Hong Kong offers attractive rewards package and promising career prospects to the right candidates. Applicants please visit our website and submit online application.
Enquiry email : graduate@rsmhk.com
(Data collected will be used for recruitment purpose only)
 ",Accounting / Audit / Taxation,IT / Programming
Administrative Assistant,MediConCen Limited,JIS00336014,2024-08-23,2024-09-21,"Full Time, Graduate",HKD ($) 17K - 20K per month,1,Hong Kong - Kowloon,"Job description:
Provide clerical and administrative support to sales team, e.g. document collection, management and filing
Liaise with clinics to perform their medical duties smoothly with MediConCen’s claim system.
Respond promptly to customer inquiries, providing accurate product information, pricing details, and project processing support.
Perform any other duties assigned by supervisor(s) from time to time
Opportunity to participate in sales process, including lead generation, prospecting, and closing deals.","Requirements:
Fresh graduate is welcome
Bachelor's Degree holder is preferred
Proficiency in using MS Office (Word, Excel, PowerPoint).
Experience in a sales support, administration or customer service role
Good command of communication skill in written and spoken English and Chinese, especially fluent Cantonese
Ability to work collaboratively in a team environment, as well as independently.

Employment and remuneration:
5-day working week
Double pay and discretionary bonus
Annual leave and bank holidays
Amazing group medical and dental benefits 
Free vaccination and body check up",2021 - 2024,Any Discipline,"Bachelor, Master / Postgraduate Diploma",None,"Established in 2018, MediConCen is a Hong Kong-leading InsurTech company, awarded in numerous local and international competitions. MediConCen is the first in Hong Kong to utilize blockchain technology to provide clients with seamless and automatic experience in insurance claims. MediConCen partners with various insurance companies and more than 1,200 doctors in Hong Kong, including western medicine clinics, physiotherapy centers, Chinese Herbalist clinics, dental clinics and others. ",Please address your application to : HR Department,"Units 1501-02, 15/F, Port 33, 33 Tseuk Luk Street, San Po Kong, Kowloon, Hong Kong",recruit@mediconcen.com,3183 4777,,https://www.mediconcen.com,,Information Technology / Telecom / Technology,"Administration - Private Sector
Customer Services - Retail / Hotel / Tourism and Others
Others"
