Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Assistant Analyst (Full-time),Yuhu Group (HK) Investment Holdings Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-27
Air freight customer service,Dragon Air Service Limited,"Full Time, Graduate",HKD ($),10K - 15K per month,2024-09-16
Software Developer,D2V Limited,"Full Time, Graduate",HKD ($),22K - 26K per month,2024-09-26
Part-time helper for Logistics (E-Commerce),Super Tact International Limited,"Part Time, Temporary",HKD ($),80 per hour,2024-09-27
Mechanical Engineer,MODERN (INTERNATIONAL) P&M HOLDINGS LIMITED,"Full Time, Graduate",HKD ($),11.2K - 30K per month,2024-09-27
Graduate Intern (Hong Kong Palace Museum – Design and Technical Support),West Kowloon Cultural District Authority,"Full Time, Graduate",HKD ($),16K per month,2024-09-12
Executive Assistant in Department of Mathematics and Information Technology (Ref: 2400942),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Administration Assistant,Virtues Holding Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-27
Part-time Tutor (P.1-P.3),Learning Common HK Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-27
Part-time Tutor (P.4-P.6),Learning Common HK Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-27
Officer – Service delivery representative,HKCOLO Limited,"Graduate Trainee, Full Time, Graduate",HKD ($),19K - 20K per month,2024-09-27
Recruitment of Teaching Assistant(Diploma Level)(English),Tsuen Wan Government Secondary School,"Full Time, Temporary",HKD ($),Negotiable,2024-09-05
Executive Officer II in Resource Centre for Interdisciplinary Studies and Experiential Learning (Ref: 2400956),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Editor,She Communications Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-27
Air freight customer service,Dragon Air Service Limited,"Full Time, Graduate",HKD ($),10K - 15K per month,2024-09-16
Software Developer,D2V Limited,"Full Time, Graduate",HKD ($),22K - 26K per month,2024-09-26
Technician (Work location: Science Park & HK Int'l Airport),D2V Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-26
Accouting,INTERNATIONAL CUSTOMER SERVICE COMPANY LIMITED,"Full Time, Graduate",HKD ($),18.5K - 22.5K per month,2024-09-27
"Part-time Intern, Health Tech and Chinese Medicine",Hong Kong Productivity Council,"Part Time, Internship",HKD ($),60 per hour,2024-09-26
Garment Development Assistant (Fashion brand),Excellent Jade Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-07
Part-time Intern - Multimedia Design and Production,Hong Kong Productivity Council,"Part Time, Internship",HKD ($),60 per hour,2024-09-25
Assistant Analyst (Full-time),Yuhu Group (HK) Investment Holdings Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-27
Research Assistant I in Department of Health and Physical Education (Ref: 2400947),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
Research Assistant I in Department of Health and Physical Education (Ref: 2400963),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Research Assistant I in Department of Mathematics and Information Technology (Ref: 2400927),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-04
Structure Finance Intern,TF International Securities Group Limited,"Part Time, Internship",HKD ($),40 per hour,2024-09-16
(Assistant) Marketing Officer (Personal Care & Health) - Welcome Fresh Graduates,Hong Kong Technology Venture Company Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-27
PR Executive,DNPR Communications HK Limited,"Full Time, Graduate",HKD ($),16K - 20K per month,2024-09-27
"Merchandising Business Operations Intern, Global Merchandising (6 months Internship)",DFS Group Limited,"Full Time, Internship",HKD ($),15K per month,2024-09-12
"Assistant Buyer, Fashion",DFS Group Limited,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-09-10
Audit Assistant (Intern),"UBC & Co., Certified Public Accountants","Part Time, Internship",HKD ($),65 - 85 per hour,2024-09-27
INTERN: Corporate Finance,Societe Generale - Hong Kong Branch,"Full Time, Graduate",HKD ($),30K - 34K per month,2024-09-27
Audit Assistant (Part Time),"UBC & Co., Certified Public Accountants","Part Time, Temporary",HKD ($),65 - 85 per hour,2024-09-27
"Audit Assistant, Semi-Senior","UBC & Co., Certified Public Accountants","Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-27
"Part-time Associate, Human Resources",Shanghai Commercial Bank Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-15
Business Development Executive,Bonnymuir,"Part Time, Graduate",HKD ($),8K - 10K per month,2024-09-26
Business Development & Marketing Intern,Acclime Corporate Services Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-22
Business Development Manager 業務發展經理,iHashing Technology Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-26
Parttime Courier,Morning Express & Logistics Limited,"Part Time, Temporary",HKD ($),500 per day,2024-09-26
行政助理,iHashing Technology Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-26
Sales Coordinator,"Dorsett Kai Tak, Hong Kong","Full Time, Graduate",HKD ($),18K per month,2024-09-26
WEBAPP Designer,iHashing Technology Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-26
Full Stack Developer,iHashing Technology Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-26
Sales Manager,"Dorsett Kai Tak, Hong Kong","Full Time, Graduate",HKD ($),25K per month,2024-09-26
"Recruitment Specialist (Listed MNC, Graduation Job)",Recruit Express (Hong Kong) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-08
Audit Junior,"WWC Professional Corporation Limited, CPAs (Practising)","Job at oversea location, Full Time, Graduate",HKD ($),14K - 17K per month,2024-09-22
TRAINEE: Communication,Societe Generale - Hong Kong Branch,"Full Time, Graduate",HKD ($),30K - 34K per month,2024-09-26
教務行政,International Education Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-15
(Senior) Content Editor (Lifestyle Channel) (高級) 生活副刊小編,ET Net Limited,"Full Time, Graduate",HKD ($),19K - 20K per month,2024-09-26
(將軍澳坑口)教育客戶服務主任/銷售與行政助理 Customer Service Officer/Sales Administrator,Dr. Kids Education Group Limited,"Full Time, Graduate",HKD ($),15K - 19K per month,2024-09-26
AI Bioinformatician / Bioinformatics Scientist,WSC Holding Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-20
Development Officer (Counsellor)(媒體輔導中心 (關心一線)),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),35.08K - 45.89K per month,2024-09-26
支援幼稚園老師 (青樂幼稚園/青樂幼兒園),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),25.11K - 32.6K per month,2024-09-26
Youth Work Officer 青年工作幹事 (學校社工) (香港青年協會大埔青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-26
Development Officer 發展幹事(黃寬洋青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),35.08K - 45.89K per month,2024-09-26
Youth Worker 青年工作員(進修增值專隊)(賽馬會將軍澳青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),22.14K - 32.6K per month,2024-09-26
Finance Reporter (China Desk) 財經記者 (中國要聞),ET Net Limited,"Full Time, Graduate",HKD ($),16K - 17K per month,2024-09-26
Teaching Assistant in Department of Mathematics and Information Technology (Ref: 2400922),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-10
資訊科技助理 (ITA),Hong Kong Chinese Women's Club College,"Full Time, Graduate",HKD ($),14.28K - 19.54K per month,2024-09-26
Part-Time Internship (Marketing),Topwell Gold Limited,"Part Time, Internship",HKD ($),65 - 80 per hour,2024-09-26
Accenture Song - Digital Business Analyst (Graduates will be considered),Accenture Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-24
Company Secretary Assistant,Acclime Corporate Services Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-22
Installation Engineer,ALSTOM Hong Kong Ltd,"Full Time, Graduate",HKD ($),Negotiable,2024-09-26
(Assistant) Graduate Engineer - Installation/ Test & Commissioning / Design,ALSTOM Hong Kong Ltd,"Full Time, Graduate",HKD ($),Negotiable,2024-09-26
Revenue Analyst,Cathay Pacific Airways LTD,"Full Time, Graduate",HKD ($),Negotiable,2024-09-11
Trainee: Equity Derivatives Sales Assistant,Societe Generale - Hong Kong Branch,"Full Time, Graduate",HKD ($),30K - 34K per month,2024-09-26
Program Worker 活動工作員,The Hong Kong Down Syndrome Association,"Full Time, Graduate",HKD ($),Negotiable,2024-09-17
社會工作助理 (Social Work Assistant),The Society for the Aid and Rehabilitation of Drug Abusers,"Full Time, Graduate",HKD ($),21.5K - 22K per month,2024-09-10
Fundraising Management Trainee,Kindness Support Limited,"Full Time, Summer",HKD ($),14K - 16K per month,2024-09-12
Project Coordinator,QIMA TESTING (HK) LIMITED,"Full Time, Graduate",HKD ($),15K - 16K per month,2024-09-07
Programmer,ET Net Limited,"Full Time, Graduate",HKD ($),25K - 35K per month,2024-09-26
Project Assistant,Togo Pacific Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-22
Research Scientist in Machine Learning,ZETA MOTION LIMITED,"Full Time, Graduate",HKD ($),20K - 23K per month,2024-09-20
Community Associate (Customer Services & Facility Management),Shout Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-26
Customer Service Officer / Customer Service Executive (Financial Press),Cre8 (Greater China) Limited,"Full Time, Graduate",HKD ($),20K - 22K per month,2024-09-15
"Assistant, Compliance (Ref: COM/MA/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
兼職學校課託導師 (合約) (編號：HWIT/90124),St. James' Settlement,"Part Time, Temporary",HKD ($),110 per hour,2024-09-26
"Consultant, Industry 4.0+ and AI (Ref: NID286/24, 9769)",Hong Kong Productivity Council,"Full Time, Graduate",HKD ($),30K - 45K per month,2024-09-12
Part-time Helper,The Hong Kong Academy of Sciences,"Part Time, Temporary",HKD ($),70 - 90 per hour,2024-09-21
Executive Assistant in Department of Health and Physical Education (Ref: 2400926),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-03
Technical staff,TG Engineering Limited,"Full Time, Temporary",HKD ($),18K - 22K per month,2024-09-15
Part-time Student Programmer (INNO-24-J03),"Clinical Trials Centre, The University of Hong Kong","Part Time, Temporary",HKD ($),69 - 80 per hour,2024-09-25
Part-time IT Support Assistant (ITU-24-J01),"Clinical Trials Centre, The University of Hong Kong","Part Time, Temporary",HKD ($),69 - 80 per hour,2024-09-25
Part-time Student Research Assistant (INNO-24-J03),"Clinical Trials Centre, The University of Hong Kong","Part Time, Temporary",HKD ($),69 - 80 per hour,2024-09-25
Part-time Student Research Assistant (BIOT-24-J02),"Clinical Trials Centre, The University of Hong Kong","Part Time, Temporary",HKD ($),69 - 80 per hour,2024-09-25
Youth Worker 青年工作員 (荃景青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),22.14K - 32.6K per month,2024-09-25
Youth Work Officer 青年工作幹事(註冊文憑/副學位社工)(小學駐校)(青苗計劃),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),25.11K - 41.63K per month,2024-09-25
Youth Work Officer 青年工作幹事(學位社工)(小學駐校) (青苗計劃),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-25
Youth Worker (Application Support / Business Analyst)(資訊科技組),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),22.14K - 32.6K per month,2024-09-25
Interns,C.W. Fan & Co. Limited,"Full Time, Internship",HKD ($),9.5K - 10K per month,2024-09-25
Youth Work Officer 青年工作幹事(註冊學士社工) [駐校工作](荃景青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-25
Youth Work Officer 青年工作幹事 (註冊學位社工)(賽馬會茵怡青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-25
Youth Work Officer 青年工作幹事 (註冊學位社工)(西貢及黃大仙外展社會工作隊),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-25
Youth Work Officer 青年工作幹事 (註冊學位社工)(青年違法防治中心–抗毒服務),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-25
Youth Worker (持續進修中心),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),22.14K - 32.6K per month,2024-09-25
Youth Work Officer 青年工作幹事 (中學駐校服務)(學校社會工作組),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-25
"Part-time Intern, AquaTech & Research",Hong Kong Productivity Council,"Part Time, Internship",HKD ($),60 per hour,2024-09-20
Admin. Assistant (Fundraising & Admin.),The Hong Kong Down Syndrome Association,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Bell Attendant (Welcome Fresh Graduate),YMCA of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
Programmer / Developer,React Digi Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-25
Student Intern/ Work Experience Student - Investment Banking Department,UOB Kay Hian (Hong Kong) Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-23
Cloud Engineer,Hong Kong Economic Times Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
Technical Writer,Hong Kong Logistics Technology & Systems Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-09-24
Business Analyst / Business Development Executive,React Digi Limited,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-09-25
Wellness Administrative Associate/Intern,Serica Holdings HK Limited,"Full Time, Internship",HKD ($),18K - 20K per month,2024-09-25
Corporate & Sales Intern/Assistant at a Premier Wellness Destination,Serica Holdings HK Limited,"Full Time, Internship",HKD ($),18K - 20K per month,2024-09-25
Accounts Clerk,Liu & Wong Certified Public Accountants,"Full Time, Graduate",HKD ($),12K - 15K per month,2024-09-23
Project Coordinator,React Digi Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-25
Audit Junior,Liu & Wong Certified Public Accountants,"Full Time, Graduate",HKD ($),13K - 16K per month,2024-09-23
Assistant Marketing Manager,HKB2B Limited,"Full Time, Graduate",HKD ($),26K per month,2024-09-21
Administrative Assistant,Occupational Safety & Health Council,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
牙齒衞生員(編號：DCS/DH) 元朗(水邊圍/江夏圍)及葵盛區,Pok Oi Hospital,"Full Time, Graduate",HKD ($),Negotiable,2024-09-23
物理治療師 (編號：TMNH/PTII),Pok Oi Hospital,"Full Time, Graduate",HKD ($),Negotiable,2024-09-23
診所助理(中醫)(全職),Pok Oi Hospital,"Full Time, Graduate",HKD ($),15.13K - 20.14K per month,2024-09-23
Assistant Designer / Designer,Oxford University Press (China) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
Account Executive,Oxford University Press (China) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
Customer Services Officer (Part-time),West Kowloon Cultural District Authority,"Part Time, Temporary",HKD ($),70 per hour,2024-09-25
Editor / Assistant Editor (Physics / Biology / Science),Oxford University Press (China) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
Administration Officer,HKB2B Limited,"Full Time, Graduate",HKD ($),18K per month,2024-09-21
Multimedia Designer,Trinity Medical Imaging Centre Limited,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-09-22
Secondary Chinese Specialized Course Tutor,Wai Sum Tutorial School,"Part Time, Graduate",HKD ($),100 per hour,2024-09-25
Administration staff / Program Coordinator,Phonics Plus Limited,"Full Time, Graduate",HKD ($),16K - 22K per month,2024-09-25
Secondary English Specialized Course Tutor,Wai Sum Tutorial School,"Part Time, Graduate",HKD ($),100 per hour,2024-09-25
Administrative Officer,Umbrella School Foundation Limited,"Full Time, Graduate",HKD ($),15K - 20K per month,2024-09-23
Part Time Marketing Assistant,Tech Nine Limited,"Part Time, Internship",HKD ($),60 - 65 per hour,2024-09-03
"Management Trainee, Wealth Management and Protection",Nobleson Finance,"Full Time, Graduate",HKD ($),45K - 60K per month,2024-09-02
Part-time Assistant (Development & Community Engagement) - 3 Days Work,Ronald McDonald House Charities Hong Kong Limited,"Part Time, Temporary",HKD ($),85 per month,2024-09-25
Process Engineering Trainee (Based in Jiangmen),Johnson Electric Industrial Manufactory Limited,"Job at Greater Bay Area, Full Time, Graduate",HKD ($),20K - 22K per month,2024-09-25
Software Engineer- Motor Control (Based in Shenzhen),Johnson Electric Industrial Manufactory Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-25
Member Services Assistant,YMCA of Hong Kong,"Full Time, Graduate",HKD ($),14K - 16K per month,2024-09-25
"Analyst (Intern), Emerging Technology Development",Hong Kong Productivity Council,"Full Time, Internship",HKD ($),9K - 10K per month,2024-09-24
Technical Sales Representative - Healthcare Industry,Solomann Asia Pacific Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-22
Assistant Building Surveyor,Knight Frank Petty Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
Assistant Member Services Officer,YMCA of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-25
Compliance and AML Analyst,Alpha Calibration (Hong Kong) Limited,"Full Time, Graduate",HKD ($),16K - 24K per month,2024-09-25
Quality Assurance Engineer,Hong Kong Generative AI Research and Development Center Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-25
Guest Service Agent (welcome fresh graduate),YMCA of Hong Kong,"Full Time, Graduate",HKD ($),17K - 18K per month,2024-09-25
Part-time Assistant Programme Officer (Domestic Helper Unit),YMCA of Hong Kong,"Part Time, Temporary",HKD ($),80 per hour,2024-09-24
Valuation Advisory Full Time Associate,ValQuest Advisory Group Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-09
「輔導熱線」 輔導員,CBN Hong Kong Limited,"Full Time, Graduate",HKD ($),11.2K - 11.5K per month,2024-09-24
Administrative Assistant (Part-time),Enrich Learning Development Limited,"Part Time, Temporary",HKD ($),65 - 75 per hour,2024-09-25
Engineer/Assistant Engineer,"Winston Air Conditioning & Engineering (HK) Co., Ltd.","Full Time, Graduate",HKD ($),16K - 25K per month,2024-09-12
Part Time Tutor (Secondary Economics & Secondary Maths),Arsenal Training Consultancy,"Part Time, Temporary",HKD ($),140 - 150 per hour,2024-09-22
Macroeconomic Analyst Internship,Coordinates Capital Management Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-25
Audit Trainee,S H Leung & Co Certified Public Accountants,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-25
Sales Executive / Account Manager,Dealer Send Logistics Limited,"Full Time, Graduate",HKD ($),15K - 30K per month,2024-09-10
Part Time Accounts / Bookkeeping Clerk,Trade Anywhere Limited,"Part Time, Graduate",HKD ($),60 - 80 per hour,2024-09-25
Assistant Sales Executive / Assistant Sales Engineer,MODERN (INTERNATIONAL) P&M HOLDINGS LIMITED,"Full Time, Graduate",HKD ($),11.2K - 30K per month,2024-09-25
Financial Consultant Trainee,W Consulting,"Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-08
2024 Management Trainee - Business Development,Global Sharp International Limited,"Management Trainee, Full Time, Graduate",HKD ($),23K - 27K per month,2024-09-10
Channel Account Manager,Synergy Computers & Communications Ltd.,"Full Time, Graduate",HKD ($),12K - 30K per month,2024-09-25
Network Engineer,Synergy Computers & Communications Ltd.,"Full Time, Graduate",HKD ($),16K - 22K per month,2024-09-25
服務主任(社工)(日間護理中心) (編號: DETM/SS),Pok Oi Hospital,"Full Time, Graduate",HKD ($),24.82K per month,2024-09-24
Accounts Clerk,Gisser Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-10
Wealth Management Trainee Program – Hong Kong 財富管理實習生計劃 – 香港,One Wealth Management Company Limited,"Management Trainee, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-20
Accountant / Fund Administrator,Alpha Calibration (Hong Kong) Limited,"Full Time, Graduate",HKD ($),17K - 24K per month,2024-09-24
Private Markets Intern,Gateway Private Markets (HK) Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-24
Buyer (Based in Dongguan),SAE Magnetics (Hong Kong) Ltd,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-09-24
Senior Engineer - Materials Scientist,SAE Magnetics (Hong Kong) Ltd,"Full Time, Graduate",HKD ($),35K - 40K per month,2024-09-24
Legal Secretary,Chan King Wong and Co.,"Full Time, Graduate",HKD ($),18K - 23K per month,2024-09-24
Part-Time Internship (Accounting / Purchasing / Admin),Hungry Minds Group Limited,"Part Time, Internship",HKD ($),65 - 80 per hour,2024-09-24
Administrative Assistant,Iyuno Hong Kong Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-09
Assistant Officer (Fresh graduates are welcome),Chevalier (Corporate Management) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-02
Customer Service Executive / Customer Service Assistant (Financial Press),Cre8 (Greater China) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-15
Sales Associate,Cre8 (Greater China) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-15
Internship,Amber DWM Limited,"Part Time, Internship",HKD ($),150 - 200 per day,2024-09-23
Senior Dealing Executive/Executive (US Market),Chief Securities Limited,"Full Time, Graduate",HKD ($),15K - 40K per month,2024-09-24
兼職英文科教室導師 Part Time Centre Tutor (English Language) - 粉嶺聯和墟,Popular Learning Centre (Union Plaza) Limited,"Part Time, Temporary",HKD ($),150 - 180 per hour,2024-09-22
2025 Spring Intern - Audit & Assurance Services,RSM Hong Kong,"Full Time, Internship",HKD ($),Negotiable,2024-09-24
Junior Business Analyst (Customer Insight),Plantoo Limited,"Full Time, Graduate",HKD ($),16K - 20K per month,2024-09-24
2025 Spring Intern - Technology & Management Consulting Services,RSM Hong Kong,"Full Time, Internship",HKD ($),Negotiable,2024-09-24
Finance Officer (Fresh Grad Welcome),Harrow International Management Services Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-23
Part-Time Customer Support Engineer,System Aid Medical Services Limited,"Part Time, Temporary",HKD ($),80 - 100 per hour,2024-09-21
HR-Intern,TF International Securities Group Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-08
Marketing Officer,MCM Wealth Management Hong Kong Limited,"Full Time, Graduate",HKD ($),12K - 13K per month,2024-09-24
Accounting Officer,MCM Wealth Management Hong Kong Limited,"Full Time, Graduate",HKD ($),12K - 13K per month,2024-09-24
Teaching Position (Language Teaching) for Academic Year 2024-2025 (Part-time: hourly-based),Edvenue Limited,"Part Time, Internship",HKD ($),160 - 240 per hour,2024-09-06
Risk Analyst,WizardQuant LLC,"Full Time, Graduate",HKD ($),Negotiable,2024-09-20
Compliance Officer,WizardQuant LLC,"Full Time, Graduate",HKD ($),Negotiable,2024-09-20
Institutional Sales Assistant Intern,TF International Securities Group Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-08
Business Analyst (Supply Chain / Logistics / Retail Systems),Fides Solutions Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-24
